"n.200" "n.400" "n.600" "n.800" "n.1000" "n.1200" "n.1400" "n.1600" "n.1800" "n.2000"
"m.1000" 1 1 1 1 1 1 1 1 1 1
"m.2000" 0.9995 0.9995 0.9995 1 1 1 1 1 1 1
"m.3000" 0.999666666666667 0.999666666666667 0.999666666666667 1 1 1 1 1 1 1
"m.4000" 0.99975 0.99975 0.99975 1 1 1 1 1 1 1
"m.5000" 0.9998 1 0.9998 1 1 1 1 1 1 1
"m.6000" 0.999833333333333 1 0.999833333333333 1 1 1 1 1 1 1
"m.7000" 0.999857142857143 1 0.999857142857143 1 1 1 1 1 1 1
"m.8000" 0.999875 1 0.999875 1 1 1 1 1 1 1
"m.9000" 0.999888888888889 1 0.999888888888889 1 1 1 1 1 1 1
"m.10000" 0.9999 1 0.9999 1 1 1 1 1 1 1
"m.11000" 0.999909090909091 1 0.999909090909091 1 1 1 1 1 1 1
"m.12000" 0.999916666666667 1 1 1 1 1 1 1 1 1
"m.13000" 0.999846153846154 0.999923076923077 0.999923076923077 0.999923076923077 0.999923076923077 0.999923076923077 0.999923076923077 0.999923076923077 0.999923076923077 0.999923076923077
"m.14000" 0.999857142857143 0.999928571428571 0.999928571428571 0.999928571428571 0.999928571428571 0.999928571428571 0.999928571428571 0.999928571428571 0.999928571428571 0.999928571428571
"m.15000" 0.999866666666667 0.999933333333333 0.999933333333333 0.999933333333333 0.999933333333333 0.999933333333333 0.999933333333333 0.999933333333333 0.999933333333333 0.999933333333333
"m.16000" 0.999875 0.9999375 0.9999375 0.9999375 0.9999375 0.9999375 0.9999375 0.9999375 0.9999375 0.9999375
"m.17000" 0.999823529411765 0.999882352941176 0.999823529411765 0.999882352941176 0.999882352941176 0.999882352941176 0.999882352941176 0.999882352941176 0.999882352941176 0.999882352941176
"m.18000" 0.999777777777778 0.999888888888889 0.999833333333333 0.999888888888889 0.999888888888889 0.999888888888889 0.999888888888889 0.999888888888889 0.999888888888889 0.999888888888889
"m.19000" 0.999789473684211 0.999894736842105 0.999894736842105 0.999894736842105 0.999894736842105 0.999894736842105 0.999894736842105 0.999894736842105 0.999894736842105 0.999894736842105
"m.20000" 0.9998 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
"m.21000" 0.999761904761905 0.999857142857143 0.999904761904762 0.999904761904762 0.999904761904762 0.999904761904762 0.999904761904762 0.999904761904762 0.999904761904762 0.999904761904762
"m.22000" 0.999772727272727 0.999863636363636 0.999909090909091 0.999909090909091 0.999909090909091 0.999909090909091 0.999909090909091 0.999909090909091 0.999909090909091 0.999909090909091
"m.23000" 0.999739130434783 0.999869565217391 0.999913043478261 0.999913043478261 0.999913043478261 0.999913043478261 0.999913043478261 0.999913043478261 0.99995652173913 0.999913043478261
"m.24000" 0.999708333333333 0.999791666666667 0.999916666666667 0.999916666666667 0.999916666666667 0.999916666666667 0.999916666666667 0.999916666666667 0.999916666666667 0.999916666666667
"m.25000" 0.99972 0.99984 0.99992 0.99992 0.99992 0.99992 0.99992 0.99992 0.99992 0.99992
