"Prediction" "Actual" "Text"
"354" "Finnish" "French" "La renationalisation"
"584" "Spanish" "Portuguese" "Estou a referir me especialmente aos anteriores escândalos ligados ao programa Echo"
"611" "Italian" "Spanish" "No lo creo"
"613" "German" "Finnish" "Puhemies"
"688" "Spanish" "French" "Merci Madame Terrón I Cusí"
"737" "Spanish" "English" "No car manufacturers have been making colossal profits for years"
"881" "Danish" "Italian" "A ragione"
"1253" "Spanish" "Italian" "E se sì quanti"
"1284" "English" "French" "Malheureusement pas grand chose"
"1594" "Dutch" "German" "Damit ist die Fragestunde an die Kommission beendet"
"1608" "English" "Spanish" "Theato decisivo"
"1685" "Italian" "English" "Romano Prodi promised a revolution"
"1763" "English" "Italian" "E lo dico anche a lei signor Commissario Please deliver the beef even if it is British"
"1830" "Danish" "Norwegian" "Sedan har vi regeringskonferensen"
"2007" "Portuguese" "Spanish" "Deseo poder añadir que querremos prestarla"
"2061" "Spanish" "English" "No"
"2106" "Spanish" "Portuguese" "Este dinheiro está agora disponível este ano"
"2157" "Danish" "Spanish" "Informe Rapkay"
"2323" "Spanish" "Italian" "La seduta sospesa alle riprende alle"
"2334" "Danish" "English" "Berend Report"
"2355" "Danish" "Norwegian" "Parlamentet justerade protokollet"
"2531" "English" "French" "Where is the beef"
"2687" "Finnish" "German" "Und nun Erika"
"3024" "Danish" "Norwegian" "Det finner jag inte godtagbart"
"3491" "Dutch" "German" "Vielen Dank Herr Poettering"
"3518" "Danish" "Norwegian" "De fick ingen majoritet"
"3542" "Finnish" "Norwegian" "Detta saknas"
"3557" "Danish" "English" "COM COS"
"3638" "Dutch" "Norwegian" "Tack herr Poettering"
"3765" "Danish" "Norwegian" "Men vi behöver mer öppenhet i konkurrenspolitiken"
"3926" "Danish" "Norwegian" "De tre s k"
"3959" "Portuguese" "Spanish" "Cada Presidente o cada Presidenta tiene tantos votos como miembros tiene su Grupo"
"4027" "German" "Dutch" "Deze eisen gelden dus in alle wateren"
"4156" "German" "English" "Such is life"
"4430" "Spanish" "Portuguese" "É fundamental que consigamos obter a fórmula certa"
"4575" "Danish" "Norwegian" "Applåder Tack fru Roth Behrendt"
"4964" "Spanish" "Portuguese" "Nós socialistas recusamos esta ingenuidade liberal"
"5057" "Spanish" "Portuguese" "Aprovo este pedido"
"5442" "English" "Spanish" "De acuerdo señor Howitt"
"5734" "Danish" "German" "Sehr geehrte Kollegen"
"5806" "Dutch" "French" "Je tiens à féliciter Lousewies van der Laan"
"6319" "English" "Spanish" "Theato"
"6520" "Danish" "Norwegian" "Jag skall ge ordet till Provan"
"6965" "Danish" "Norwegian" "Den var mycket liten"
"7010" "Portuguese" "Spanish" "Cualquier demócrata puede ver dos problemas fundamentales"
"7069" "Finnish" "German" "So viel zur Qualität"
"7294" "Dutch" "English" "I have been fighting for a European environmental coastguard service for almost ten years here in Parliament"
"7491" "Spanish" "Norwegian" "miljarder euro"
"7536" "Dutch" "German" "Rina ist jetzt ins Gerede gekommen"
"7557" "Dutch" "Finnish" "Avaatte HVK n tien"
"7614" "Danish" "English" "Do forgive me"
"7724" "Portuguese" "Spanish" "La Directiva CE responde a esta necesidad"
"8030" "Danish" "Dutch" "Wat is er verbeterd"
"8213" "Danish" "Dutch" "Ik kom hier straks op terug"
"8220" "Danish" "Norwegian" "Resultatet ser vi i dag"
"8681" "Danish" "Norwegian" "Nej"
"8687" "Italian" "French" "En Allemand scoreboard sonne un peu comme skateboard"
"8705" "Spanish" "Portuguese" "Finalmente a ausência de transparência"
"9208" "English" "Spanish" "Theato"
"9281" "Danish" "Norwegian" "Liksom Aparicio Sánchez tog ni upp avsaknaden av reformer på fiskeområdet"
"9282" "Danish" "Norwegian" "Naturligtvis behöver vi fartyg med dubbelt skrov"
"9479" "Spanish" "Portuguese" "O relatório Von Wogau propõe que o controlo desta legitimidade seja reposto ao nível nacional"
"9507" "Danish" "German" "Danke Frau Terrón i Cusí"
"9763" "Danish" "Norwegian" "Vi ser fram emot en givande dialog med er om detta"
"9847" "Italian" "Danish" "Romano Prodi lovede en revolution"
"10000" "Danish" "Finnish" "Ei ole"
