"n.200" "n.400" "n.600" "n.800" "n.1000" "n.1200" "n.1400" "n.1600" "n.1800" "n.2000"
"m.1000" 0.9452 0.9653 0.9693 0.9721 0.9744 0.9762 0.9758 0.9789 0.9755 0.9772
"m.2000" 0.9552 0.9741 0.9768 0.9785 0.983 0.9813 0.9812 0.9832 0.9815 0.9832
"m.3000" 0.9592 0.976 0.9795 0.9821 0.983 0.9845 0.9859 0.9866 0.9872 0.9869
"m.4000" 0.9644 0.9776 0.9814 0.9826 0.986 0.9863 0.9868 0.9878 0.9874 0.9884
"m.5000" 0.9662 0.9794 0.9815 0.9849 0.986 0.987 0.988 0.9877 0.9888 0.9886
"m.6000" 0.9675 0.9808 0.9828 0.9852 0.9872 0.9888 0.9885 0.9894 0.9892 0.9903
"m.7000" 0.9686 0.9812 0.9832 0.9856 0.9873 0.9884 0.9883 0.9897 0.9898 0.9905
"m.8000" 0.9702 0.9817 0.984 0.9859 0.9875 0.9887 0.9891 0.9895 0.99 0.9904
"m.9000" 0.9693 0.9818 0.984 0.9871 0.9879 0.9895 0.9903 0.9908 0.9903 0.9901
"m.10000" 0.9715 0.9818 0.9842 0.9857 0.9889 0.989 0.9896 0.99 0.9913 0.9903
"m.11000" 0.9722 0.9834 0.9857 0.987 0.9892 0.9896 0.9903 0.9911 0.991 0.9907
"m.12000" 0.9725 0.9838 0.9848 0.9874 0.9896 0.9898 0.9905 0.9907 0.9912 0.9911
"m.13000" 0.9742 0.9838 0.9856 0.9882 0.9901 0.9902 0.9904 0.992 0.9913 0.9922
"m.14000" 0.9742 0.9835 0.9862 0.9881 0.9898 0.9907 0.9919 0.9917 0.9919 0.9926
"m.15000" 0.975 0.984 0.9857 0.9884 0.9911 0.9906 0.9914 0.9915 0.9919 0.9928
"m.16000" 0.9761 0.9852 0.9864 0.9892 0.99 0.9913 0.9909 0.9923 0.9922 0.9929
"m.17000" 0.9768 0.9859 0.9865 0.9889 0.9906 0.9913 0.9918 0.9919 0.9928 0.9924
"m.18000" 0.9755 0.9854 0.9867 0.9891 0.9913 0.9911 0.9922 0.9931 0.9926 0.9923
"m.19000" 0.9762 0.9858 0.9867 0.9894 0.9907 0.9915 0.9917 0.992 0.9927 0.9924
"m.20000" 0.976 0.9853 0.9878 0.9892 0.9908 0.9918 0.9921 0.9924 0.9921 0.9924
"m.21000" 0.9774 0.986 0.9881 0.9896 0.9914 0.992 0.9923 0.9919 0.9922 0.9929
"m.22000" 0.9767 0.9861 0.9876 0.9896 0.9908 0.9923 0.9919 0.9922 0.9927 0.9931
"m.23000" 0.9776 0.9866 0.9877 0.9902 0.9914 0.9917 0.9929 0.992 0.9933 0.9931
"m.24000" 0.9777 0.9868 0.9884 0.9902 0.9926 0.9919 0.9924 0.993 0.9934 0.9933
"m.25000" 0.9771 0.987 0.9883 0.9899 0.9914 0.9923 0.993 0.9927 0.9934 0.9936
